dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value
Dg1bwchgXcv,202401,ncgkwcQrfmc,je70Y4mwfeH,fpkkdSpN6kR,15
Dg1bwchgXcv,202401,ncgkwcQrfmc,zYvsodEuuYI,fpkkdSpN6kR,2
Dg1bwchgXcv,202401,ncgkwcQrfmc,wFsxUJ2zqMg,fpkkdSpN6kR,2
Dg1bwchgXcv,202401,ncgkwcQrfmc,RHXP0OodNsP,fpkkdSpN6kR,172
Dg1bwchgXcv,202401,ncgkwcQrfmc,rtxhT8jl1iL,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,FaZnRzSDRPe,fpkkdSpN6kR,24
Dg1bwchgXcv,202401,ncgkwcQrfmc,ehoqfKjV18e,fpkkdSpN6kR,71
Dg1bwchgXcv,202401,ncgkwcQrfmc,HExCd9azLW2,fpkkdSpN6kR,12
Dg1bwchgXcv,202401,ncgkwcQrfmc,TvsBVyf2X3q,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,E8PNpOQl9JV,fpkkdSpN6kR,19
Dg1bwchgXcv,202401,ncgkwcQrfmc,ulPSlk8oGoI,fpkkdSpN6kR,102
Dg1bwchgXcv,202401,ncgkwcQrfmc,yvg5HP4o1Sc,fpkkdSpN6kR,3
Dg1bwchgXcv,202401,ncgkwcQrfmc,W0TuhwXF3eg,fpkkdSpN6kR,3
Dg1bwchgXcv,202401,ncgkwcQrfmc,aAe15Ila9pn,fpkkdSpN6kR,11
Dg1bwchgXcv,202401,ncgkwcQrfmc,HOmStKrIQCa,fpkkdSpN6kR,18
Dg1bwchgXcv,202401,ncgkwcQrfmc,KP84if89XLQ,fpkkdSpN6kR,104
Dg1bwchgXcv,202401,ncgkwcQrfmc,I9nEKhvqnbJ,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,bZ4Zez3iyg7,fpkkdSpN6kR,11
Dg1bwchgXcv,202401,ncgkwcQrfmc,JfbkAmVrFDu,fpkkdSpN6kR,27
Dg1bwchgXcv,202401,ncgkwcQrfmc,SWRkdHUURX2,fpkkdSpN6kR,2
C7r1FpZbL9g,202401,ncgkwcQrfmc,F46kLtqF0EJ,fpkkdSpN6kR,142
C7r1FpZbL9g,202401,ncgkwcQrfmc,wxKVU8ovG0R,fpkkdSpN6kR,55
C7r1FpZbL9g,202401,ncgkwcQrfmc,hc1XYQB1CS5,fpkkdSpN6kR,25
C7r1FpZbL9g,202401,ncgkwcQrfmc,dTiNou0rI1s,fpkkdSpN6kR,11
C7r1FpZbL9g,202401,ncgkwcQrfmc,GkXlu22tLRl,fpkkdSpN6kR,3
C7r1FpZbL9g,202401,ncgkwcQrfmc,q82vuhMMuWf,fpkkdSpN6kR,2
C7r1FpZbL9g,202401,ncgkwcQrfmc,KvTnKrEopN4,fpkkdSpN6kR,2
C7r1FpZbL9g,202401,ncgkwcQrfmc,fL6PlBgCiIo,fpkkdSpN6kR,2
Rvas3fOylvm,202401,ncgkwcQrfmc,WPNw0kpjhkn,fpkkdSpN6kR,1
Rvas3fOylvm,202401,ncgkwcQrfmc,yvSKoEcGk6T,fpkkdSpN6kR,1
Rvas3fOylvm,202401,ncgkwcQrfmc,MekJGFtyL9J,fpkkdSpN6kR,1
Rvas3fOylvm,202401,ncgkwcQrfmc,bg2qwTLbusX,fpkkdSpN6kR,1
Rvas3fOylvm,202401,ncgkwcQrfmc,mfLuHDmhrtr,fpkkdSpN6kR,1
Rvas3fOylvm,202401,ncgkwcQrfmc,CCQn8051t8h,fpkkdSpN6kR,1
Rvas3fOylvm,202401,ncgkwcQrfmc,dw5rlrUzaEi,fpkkdSpN6kR,1
GqvLNGO2N4S,202401,ncgkwcQrfmc,pQCbt5vZJU6,fpkkdSpN6kR,88
GqvLNGO2N4S,202401,ncgkwcQrfmc,Djfjl5w2a8i,fpkkdSpN6kR,151
GqvLNGO2N4S,202401,ncgkwcQrfmc,iey8yzgTAJi,fpkkdSpN6kR,101
kYXxzX3LRco,202401,ncgkwcQrfmc,pX5oTzxd5a1,fpkkdSpN6kR,1
kYXxzX3LRco,202401,ncgkwcQrfmc,bd1KMZi5xGP,fpkkdSpN6kR,4
kYXxzX3LRco,202401,ncgkwcQrfmc,V8n9nFJCVrP,fpkkdSpN6kR,1
kYXxzX3LRco,202401,ncgkwcQrfmc,xAKcYjdnln1,fpkkdSpN6kR,2
kYXxzX3LRco,202401,ncgkwcQrfmc,UFW6vhfa721,fpkkdSpN6kR,3
kYXxzX3LRco,202401,ncgkwcQrfmc,sMwiNAGrIxc,fpkkdSpN6kR,1
kYXxzX3LRco,202401,ncgkwcQrfmc,IRa9XRMCR4e,fpkkdSpN6kR,2
kYXxzX3LRco,202401,ncgkwcQrfmc,bIPpHncIrhW,fpkkdSpN6kR,1
kYXxzX3LRco,202401,ncgkwcQrfmc,M0hPgTGwxBl,fpkkdSpN6kR,1
t19Fm8YINHa,202401,ncgkwcQrfmc,WiscuW42lul,fpkkdSpN6kR,2
t19Fm8YINHa,202401,ncgkwcQrfmc,GwHbeToutkZ,fpkkdSpN6kR,1
t19Fm8YINHa,202401,ncgkwcQrfmc,NvnVh6rpcI5,fpkkdSpN6kR,3
t19Fm8YINHa,202401,ncgkwcQrfmc,fIs20Ikp97F,fpkkdSpN6kR,1
t19Fm8YINHa,202401,ncgkwcQrfmc,EWdgYWJhZWH,fpkkdSpN6kR,3
t19Fm8YINHa,202401,ncgkwcQrfmc,kaaNhSVIuvJ,fpkkdSpN6kR,3
t19Fm8YINHa,202401,ncgkwcQrfmc,WPNw0kpjhkn,fpkkdSpN6kR,7
t19Fm8YINHa,202401,ncgkwcQrfmc,CcntAiMGCTW,fpkkdSpN6kR,6
t19Fm8YINHa,202401,ncgkwcQrfmc,yvSKoEcGk6T,fpkkdSpN6kR,3
t19Fm8YINHa,202401,ncgkwcQrfmc,MekJGFtyL9J,fpkkdSpN6kR,7
t19Fm8YINHa,202401,ncgkwcQrfmc,iJt278Sgpgb,fpkkdSpN6kR,3
t19Fm8YINHa,202401,ncgkwcQrfmc,bg2qwTLbusX,fpkkdSpN6kR,9
t19Fm8YINHa,202401,ncgkwcQrfmc,mfLuHDmhrtr,fpkkdSpN6kR,1
t19Fm8YINHa,202401,ncgkwcQrfmc,lnSNvuTP3lG,fpkkdSpN6kR,2
t19Fm8YINHa,202401,ncgkwcQrfmc,G5sYGWBFrrD,fpkkdSpN6kR,3
t19Fm8YINHa,202401,ncgkwcQrfmc,CCQn8051t8h,fpkkdSpN6kR,4
t19Fm8YINHa,202401,ncgkwcQrfmc,islw5hzCeWm,fpkkdSpN6kR,1
t19Fm8YINHa,202401,ncgkwcQrfmc,EJE5cMdSrPj,fpkkdSpN6kR,1
t19Fm8YINHa,202401,ncgkwcQrfmc,PF0cEputKnO,fpkkdSpN6kR,1
t19Fm8YINHa,202401,ncgkwcQrfmc,Z2PVBHpKQhV,fpkkdSpN6kR,1
t19Fm8YINHa,202401,ncgkwcQrfmc,VTMiZro2DG8,fpkkdSpN6kR,6
t19Fm8YINHa,202401,ncgkwcQrfmc,RdixCALkmzj,fpkkdSpN6kR,1
